College,State,Conference,Latitude,Longitude
Concordia College (Moorhead),MN,Minnesota Intercollegiate Athletic Conference,46.862419,-96.7694258
Concordia University Chicago,IL,Northern Athletics Collegiate Conference,41.8993058,-87.8094576
Concordia University Texas,TX,Southern Collegiate Athletic Conference,30.4187934,-97.8384764
Concordia University Wisconsin,WI,Northern Athletics Collegiate Conference,43.2543401,-87.9147839
Connecticut College,CT,New England Small College Athletic Conference,41.3791334,-72.1065306
Cornell College,IA,Midwest Conference,41.9258988,-91.4254156
Covenant College,GA,Collegiate Conference of the South,-26.316181,28.046557
Crown College (Minnesota),MN,Upper Midwest Athletic Conference,44.8841343,-93.7425643
Curry College,MA,Conference of New England,42.2378786,-71.1147115
University of Dallas,TX,Southern Collegiate Athletic Conference,32.8487635,-96.9225676
Dean College,MA,Great Northeast Athletic Conference,42.0846531,-71.3998378
Delaware Valley University,PA,MAC Freedom,40.2931485,-75.1599412
Denison University,OH,North Coast Athletic Conference,40.0730051,-82.5224859
DePauw University,IN,North Coast Athletic Conference,39.6380494,-86.8668737
DeSales University,PA,MAC Freedom,40.5379677,-75.379763
Dickinson College,PA,Centennial Conference,40.2028115,-77.199574
Dominican University (Illinois),IL,Northern Athletics Collegiate Conference,41.9028967,-87.8226266
Drew University,NJ,Landmark Conference,40.760538,-74.4281605
University of Dubuque,IA,American Rivers Conference,42.0352165,-91.6361659
Earlham College,IN,Heartland Collegiate Athletic Conference,39.8204275,-84.9132312
East Texas Baptist University,TX,American Southwest Conference,32.5579527,-94.3751134
Eastern Connecticut State University,CT,Little East Conference,41.7210177,-72.217649
Eastern Mennonite University,VA,Old Dominion Athletic Conference,38.4721629,-78.8779452
Eastern University,PA,MAC Commonwealth,23.8667045,90.3139123
Edgewood University,WI,Northern Athletics Collegiate Conference,43.0588111,-89.4212241
Elizabethtown College,PA,Landmark Conference,40.149469,-76.5900861
Elmhurst University,IL,College Conference of Illinois and Wisconsin,41.8971173,-87.9469201
Elmira College,NY,Empire 8,42.0944203,-76.8155382
Elms College,MA,Great Northeast Athletic Conference,42.1419011,-72.600423
Emerson College,MA,New England Women's and Men's Athletic Conference,51.0999015,0.051608
Emmanuel College (Massachusetts),MA,Great Northeast Athletic Conference,42.3406848,-71.1029059
Emory University,GA,University Athletic Association,33.8004547,-84.3172378
Endicott College,MA,Conference of New England,42.5540691,-70.8441366
Eureka College,IL,St. Louis Intercollegiate Athletic Conference,40.7130455,-89.2658809
Fairleigh Dickinson University-Florham,NJ,MAC Freedom,40.7754461,-74.4320674
Farmingdale State College,NY,Skyline Conference,40.7539202,-73.4285044
Fitchburg State University,MA,Massachusetts State Collegiate Athletic Conference,42.5882248,-71.7900051
Framingham State University,MA,Massachusetts State Collegiate Athletic Conference,42.2977792,-71.4373064
Franciscan University of Steubenville,OH,Presidents' Athletic Conference,40.376755,-80.6219314
Franklin & Marshall College,PA,Centennial Conference,40.0489875,-76.3200987
Franklin College (Indiana),IN,Heartland Collegiate Athletic Conference,39.4766065,-86.0372577
Gallaudet University,DC,United East Conference,38.9083288,-76.9916857
Geneva College,PA,Presidents' Athletic Conference,40.7710885,-80.3217135
George Fox University,OR,Northwest Conference,45.3038558,-122.9665978
Gettysburg College,PA,Centennial Conference,39.8374688,-77.2396405
Gordon College (Massachusetts),MA,Conference of New England,42.5888528,-70.8203006
Goucher College,MD,Landmark Conference,39.408995,-76.5928709
Greensboro College,NC,USA South Athletic Conference,36.0713888,-79.8008558
Greenville University,IL,St. Louis Intercollegiate Athletic Conference,38.896711,-89.4126111
Grinnell College,IA,Midwest Conference,41.7511199,-92.7198486
Grove City College,PA,Presidents' Athletic Conference,41.1553489,-80.0787486
Guilford College,NC,Old Dominion Athletic Conference,36.0918026,-79.8872571
Gustavus Adolphus College,MN,Minnesota Intercollegiate Athletic Conference,44.3241873,-93.9714681
Gwynedd Mercy University,PA,Atlantic East Conference,40.1986857,-75.2354905
Hamilton College,NY,New England Small College Athletic Conference,43.0537974,-75.4069389
Hamline University,MN,Minnesota Intercollegiate Athletic Conference,44.9665114,-93.1645864
Hampden–Sydney College,VA,Old Dominion Athletic Conference,37.242375,-78.4605692
Hanover College,IN,Heartland Collegiate Athletic Conference,38.7165177,-85.4616428
Hardin–Simmons University,TX,American Southwest Conference,32.4777117,-99.7341576
University of Hartford,CT,Conference of New England,41.8002648,-72.7141205
Hartwick College,NY,Empire 8,42.4599781,-75.0714688
Haverford College,PA,Centennial Conference,40.0071506,-75.3069423
Heidelberg University,OH,Ohio Athletic Conference,49.4186003,8.6692402
Hendrix College,AR,Southern Collegiate Athletic Conference,35.1008234,-92.4420508
Hilbert College,NY,Allegheny Mountain Collegiate Conference,42.7554942,-78.8208089
Hiram College,OH,Presidents' Athletic Conference,41.3136471,-81.1430681
Hobart College,NY,Liberty League,-42.9195477,147.3141198
Hollins University,VA,Old Dominion Athletic Conference,37.3573684,-79.9436595
Hood College,MD,MAC Commonwealth,39.4229618,-77.4189171
Hope College,MI,Michigan Intercollegiate Athletic Association,42.7867245,-86.0996427
Houghton University,NY,Empire 8,42.426287,-78.1554629
Howard Payne University,TX,American Southwest Conference,31.7164202,-98.986314
Hunter College,NY,City University of New York Athletic Conference,40.7683107,-73.964406
Huntingdon College,AL,Collegiate Conference of the South,32.3493496,-86.2852119
Husson University,ME,North Atlantic Conference,44.8288978,-68.7952553
Illinois College,IL,Midwest Conference,39.7291655,-90.2464732
Illinois Institute of Technology,IL,Northern Athletics Collegiate Conference,41.8361641,-87.6264723
Illinois Wesleyan University,IL,College Conference of Illinois and Wisconsin,40.4924271,-88.9904211
Immaculata University,PA,Atlantic East Conference,40.0283562,-75.5702359
Ithaca College,NY,Liberty League,42.4197035,-76.4983348
John Carroll University,OH,North Coast Athletic Conference,41.4903811,-81.5287587
John Jay College of Criminal Justice,NY,City University of New York Athletic Conference,40.7707024,-73.9892566
Johns Hopkins University,MD,Centennial Conference,39.3302023,-76.6218536
Johnson & Wales University (Providence),RI,Conference of New England,41.7882362,-71.3903871
Johnson & Wales University (Charlotte),NC,Coast to Coast Athletic Conference,35.2329814,-80.8511555
Juniata College,PA,Landmark Conference,40.5012255,-78.0151628
Kalamazoo College,MI,Michigan Intercollegiate Athletic Association,42.2907574,-85.5993647
Kean University,NJ,New Jersey Athletic Conference,40.6792525,-74.2351927
Keene State College,NH,Little East Conference,42.9254736,-72.2808736
Kenyon College,OH,North Coast Athletic Conference,40.3725696,-82.3942746
Keuka College,NY,Empire 8,42.6147014,-77.0899574
Keystone College,PA,United East Conference,49.6752686,-124.9815392
King's College (Pennsylvania),PA,MAC Freedom,41.2495428,-75.8782268
Knox College,IL,Midwest Conference,40.9419283,-90.3722583
La Roche University,PA,Allegheny Mountain Collegiate Conference,40.5683991,-80.0138653
University of La Verne,CA,Southern California Intercollegiate Athletic Conference,34.0998636,-117.7726225
LaGrange College,GA,Collegiate Conference of the South,33.033811,-85.0467503
Lake Forest College,IL,Midwest Conference,42.2476174,-87.8294821
Lakeland University,WI,Northern Athletics Collegiate Conference,43.8405554,-87.8890371
Lancaster Bible College,PA,United East Conference,40.0752884,-76.2880885
Lasell University,MA,Great Northeast Athletic Conference,42.3410687,-71.2485963
Lawrence University,WI,Midwest Conference,44.2607247,-88.398891
Lebanon Valley College,PA,MAC Freedom,40.3345578,-76.5137456
Lehman College,NY,City University of New York Athletic Conference,40.8722825,-73.8948917
Lesley University,MA,North Atlantic Conference,42.387085,-71.1184042
LeTourneau University,TX,Southern Collegiate Athletic Conference,32.465759,-94.7264445
Lewis & Clark College,OR,Northwest Conference,38.9523885,-90.1951205
Linfield University,OR,Northwest Conference,45.1984734,-123.1981384
Loras College,IA,American Rivers Conference,42.5050495,-90.6788558
Luther College,IA,American Rivers Conference,-37.7817277,145.2715934
Lycoming College,PA,Landmark Conference,41.24544,-76.9999012
University of Lynchburg,VA,Old Dominion Athletic Conference,37.3987429,-79.1840479
Lyon College,AR,St. Louis Intercollegiate Athletic Conference,35.7764261,-91.6242394
Macalester College,MN,Minnesota Intercollegiate Athletic Conference,44.9376942,-93.1692917
University of Maine at Farmington,ME,North Atlantic Conference,44.6691462,-70.1443037
Maine Maritime Academy,ME,North Atlantic Conference,44.3883049,-68.8030212
University of Maine at Presque Isle,ME,North Atlantic Conference,46.6688605,-68.0179082
Manchester University,IN,Heartland Collegiate Athletic Conference,41.0117756,-85.7600095
Manhattanville University,NY,Skyline Conference,41.0321594,-73.7159265
Maranatha Baptist University,WI,Independent,43.1959164,-88.7400164
Marian University (Wisconsin),WI,Northern Athletics Collegiate Conference,43.7774111,-88.4141279
Marietta College,OH,Ohio Athletic Conference,39.416095,-81.4484225
Martin Luther College,MN,Upper Midwest Athletic Conference,44.3044386,-94.471825
Mary Baldwin University,VA,USA South Athletic Conference,38.1540287,-79.0681974
University of Mary Hardin–Baylor,TX,American Southwest Conference,31.0686823,-97.4648294
University of Mary Washington,VA,Coast to Coast Athletic Conference,38.3007911,-77.4734265
Marymount University,VA,Atlantic East Conference,38.9054445,-77.1276818
Maryville College,TN,Collegiate Conference of the South,35.751472,-83.9642249
Marywood University,PA,Atlantic East Conference,41.4345694,-75.6325017
University of Massachusetts Boston,MA,Little East Conference,42.314068,-71.0387132
Massachusetts College of Liberal Arts,MA,Massachusetts State Collegiate Athletic Conference,42.6916179,-73.1045006
University of Massachusetts Dartmouth,MA,Little East Conference,41.6225037,-71.0073448
Massachusetts Institute of Technology,MA,New England Women's and Men's Athletic Conference,42.3582529,-71.0966272
Massachusetts Maritime Academy,MA,Massachusetts State Collegiate Athletic Conference,41.7399828,-70.6243933
McDaniel College,MD,Centennial Conference,39.5851682,-77.0037276
McMurry University,TX,Southern Collegiate Athletic Conference,32.429358,-99.7487222
Medgar Evers College,NY,City University of New York Athletic Conference,40.6664361,-73.958058
Meredith College,NC,USA South Athletic Conference,35.7986587,-78.6888239
Messiah University,PA,MAC Commonwealth,40.157044,-76.9856071
Methodist University,NC,USA South Athletic Conference,35.1340802,-78.8724299
Middlebury College,VT,New England Small College Athletic Conference,44.0036695,-73.1729528
Millikin University,IL,College Conference of Illinois and Wisconsin,39.842988,-88.9742628
Millsaps College,MS,Southern Athletic Association,32.3219636,-90.1798225
Milwaukee School of Engineering,WI,Northern Athletics Collegiate Conference,43.045766,-87.9079361
University of Minnesota Morris,MN,Upper Midwest Athletic Conference,45.5902344,-95.8993091
Misericordia University,PA,MAC Freedom,41.3457983,-75.9718359
Mississippi University for Women,MS,St. Louis Intercollegiate Athletic Conference,33.4908045,-88.4196557
Mitchell College,CT,Great Northeast Athletic Conference,41.3281508,-72.0961625
Monmouth College,IL,Midwest Conference,40.9144918,-90.6383903
Montclair State University,NJ,New Jersey Athletic Conference,40.8646879,-74.1969213
Moravian University,PA,Landmark Conference,40.6309054,-75.3835241
Mount Aloysius College,PA,Allegheny Mountain Collegiate Conference,40.4587123,-78.6040379
Mount Holyoke College,MA,New England Women's and Men's Athletic Conference,42.2553285,-72.5696688
Mount St. Joseph University,OH,Heartland Collegiate Athletic Conference,39.0948316,-84.6380374
Mount Saint Mary College,NY,Skyline Conference,41.5118052,-74.0129321
University of Mount Saint Vincent,NY,Skyline Conference,,
University of Mount Union,OH,Ohio Athletic Conference,40.9042387,-81.1106865
Muhlenberg College,PA,Centennial Conference,40.5973331,-75.5104181
Muskingum University,OH,Ohio Athletic Conference,39.9995479,-81.7388823
Nazareth University,NY,Empire 8,43.1025786,-77.5200682
Nebraska Wesleyan University,NE,American Rivers Conference,40.8383056,-96.6479296
Neumann University,PA,Atlantic East Conference,39.8755631,-75.4404745
New England College,NH,Great Northeast Athletic Conference,43.1745711,-71.8313457
University of New England,ME,Conference of New England,43.4572089,-70.3833235
The College of New Jersey,NJ,New Jersey Athletic Conference,40.2685516,-74.7779768
New Jersey City University,NJ,New Jersey Athletic Conference,40.7098627,-74.0876608
SUNY Brockport,NY,Empire 8,43.209853,-77.9513391
SUNY Canton,NY,State University of New York Athletic Conference,44.6044677,-75.1862763
SUNY Cobleskill,NY,North Atlantic Conference,42.6689511,-74.5064331
SUNY Cortland,NY,State University of New York Athletic Conference,42.5927112,-76.1961728
SUNY Delhi,NY,North Atlantic Conference,42.2724575,-74.92319
SUNY Fredonia,NY,State University of New York Athletic Conference,42.4491529,-79.3359411
SUNY Geneseo,NY,Empire 8,42.7982449,-77.8237202
SUNY Maritime College,NY,Skyline Conference,40.8070979,-73.7957328
SUNY Morrisville,NY,State University of New York Athletic Conference,42.9001423,-75.6412255
SUNY Polytechnic Institute,NY,Empire 8,43.1421581,-75.2431406
SUNY New Paltz,NY,State University of New York Athletic Conference,41.7328368,-74.0888052
SUNY Old Westbury,NY,Skyline Conference,40.793775,-73.5676695
SUNY Oneonta,NY,State University of New York Athletic Conference,42.4720574,-75.0628514
SUNY Oswego,NY,State University of New York Athletic Conference,43.4526147,-76.5429045
SUNY Plattsburgh,NY,State University of New York Athletic Conference,44.6835934,-73.4773665
SUNY Potsdam,NY,State University of New York Athletic Conference,44.6606505,-74.9704788
SUNY Purchase,NY,Skyline Conference,41.0476826,-73.7023563
New York University,NY,University Athletic Association,40.7292053,-73.9950148
Nichols College,MA,Conference of New England,42.0418482,-71.9297158
North Carolina Wesleyan University,NC,USA South Athletic Conference,36.0154351,-77.7749098
North Central College,IL,College Conference of Illinois and Wisconsin,41.7743655,-88.1427492
North Central University,MN,Upper Midwest Athletic Conference,44.9688959,-93.2618548
North Park University,IL,College Conference of Illinois and Wisconsin,41.9748749,-87.7053827
University of Northwestern - St. Paul,MN,Upper Midwest Athletic Conference,,
Norwich University,VT,Great Northeast Athletic Conference,44.139179,-72.6612695
Notre Dame of Maryland University,MD,United East Conference,39.3514279,-76.6194007
Oberlin College,OH,North Coast Athletic Conference,41.2957177,-82.2215696
Occidental College,CA,Southern California Intercollegiate Athletic Conference,34.127195,-118.2099203
Oglethorpe University,GA,Southern Athletic Association,33.8763258,-84.3343891
Ohio Northern University,OH,Ohio Athletic Conference,40.7655533,-83.8335623
Ohio Wesleyan University,OH,North Coast Athletic Conference,40.292858,-83.0642763
University of Olivet,MI,Michigan Intercollegiate Athletic Association,,
Otterbein University,OH,Ohio Athletic Conference,40.127744,-82.9362778
University of the Ozarks,AR,Southern Collegiate Athletic Conference,35.4786389,-93.465589
Pacific Lutheran University,WA,Northwest Conference,47.1437573,-122.4443889
Pacific University,OR,Northwest Conference,45.5226463,-123.1093187
