College,State,Conference,Unnamed: 3,Latitude,Longitude
Embry-Riddle Aeronautical University,FL,Sunshine State Conference,,38.2842,-76.4153
Emmanuel University,GA,Conference Carolinas,,43.4342716,-80.4422376
Emory & Henry University,VA,South Atlantic Conference,,,
Emporia State University,KS,Mid-America Intercollegiate Athletics Association,,39.7767377,-105.0511037
Erskine College,SC,Conference Carolinas,,34.3321983,-82.3929984
Fairmont State University,WV,Mountain East Conference,,39.4853854,-80.1618783
Fayetteville State University,NC,Central Intercollegiate Athletic Association,,35.073715,-78.8926354
Felician University,NJ,Central Atlantic Collegiate Conference,,40.8305093,-74.1122774
Ferris State University,MI,Great Lakes Intercollegiate Athletic Conference,,43.6828521,-85.4836192
University of Findlay,OH,Great Midwest Athletic Conference,,41.0535031,-83.6543427
Flagler College,FL,Peach Belt Conference,,29.8932144,-81.3154329
Florida Southern College,FL,Sunshine State Conference,,28.0304561,-81.9455425
Florida Institute of Technology,FL,Sunshine State Conference,,28.064271,-80.623004
Fort Hays State University,KS,Mid-America Intercollegiate Athletics Association,,38.8706832,-99.3442115
Fort Lewis College,CO,Rocky Mountain Athletic Conference,,37.2771976,-107.86763
Fort Valley State University,GA,Southern Intercollegiate Athletic Conference,,32.5336633,-83.8950462
Francis Marion University,SC,Conference Carolinas,,34.1912442,-79.6666713
Franklin Pierce University,NH,Northeast-10 Conference,,42.7775443,-72.0540018
Fresno Pacific University,CA,Pacific West Conference,,36.72601,-119.7341901
Frostburg State University,MD,Mountain East Conference,,39.6476066,-78.9405983
Gannon University,PA,Pennsylvania State Athletic Conference,,42.1281052,-80.0867293
Georgia College & State University,GA,Peach Belt Conference,,32.0244257,-81.0624808
Georgia Southwestern State University,GA,Peach Belt Conference,,32.0558951,-84.2174431
Georgian Court University,NJ,Central Atlantic Collegiate Conference,,40.0981853,-74.2282
Glenville State University,WV,Mountain East Conference,,38.9355772,-80.833904
Goldey-Beacom College,DE,Central Atlantic Collegiate Conference,,39.7411259,-75.6889714
Grand Valley State University,MI,Great Lakes Intercollegiate Athletic Conference,,42.7788336,-86.0760892
Harding University,AR,Great American Conference,,35.2457455,-91.7263463
Hawai'i Pacific University,HI,Pacific West Conference,,21.3795228,-157.7830819
University of Hawai'i at Hilo,HI,Pacific West Conference,,,
Henderson State University,AR,Great American Conference,,34.1307982,-93.0592145
Hillsdale College,MI,Great Midwest Athletic Conference,,41.9318835,-84.6302306
Holy Family University,PA,Central Atlantic Collegiate Conference,,40.05988,-74.9846184
University of Illinois at Springfield,IL,Great Lakes Valley Conference,,,
Indiana University of Pennsylvania,PA,Pennsylvania State Athletic Conference,,40.6141908,-79.1609812
University of Indianapolis,IN,Great Lakes Valley Conference,,39.7093964,-86.1344523
Thomas Jefferson University,PA,Central Atlantic Collegiate Conference,,39.9489114,-75.1580566
Jessup University,CA,Pacific West Conference,,38.8200917,-121.2924904
Johnson C. Smith University,NC,Central Intercollegiate Athletic Association,,35.2437948,-80.8554323
Kentucky State University,KY,Southern Intercollegiate Athletic Conference,,38.1978976,-84.8537589
Kentucky Wesleyan College,KY,Great Midwest Athletic Conference,,37.7433245,-87.1206202
King University,TN,Conference Carolinas,,36.5877694,-82.1598014
Kutztown University of Pennsylvania,PA,Pennsylvania State Athletic Conference,,40.5098059,-75.7809883
Lake Erie College,OH,Great Midwest Athletic Conference,,41.7169934,-81.2518413
Lake Superior State University,MI,Great Lakes Intercollegiate Athletic Conference,,46.4903164,-84.3660154
Lander University,SC,Peach Belt Conference,,34.201233,-82.1656497
Lane College,TN,Southern Intercollegiate Athletic Conference,,35.6282671,-88.8066906
Lee University,TN,Gulf South Conference,,35.1660778,-84.869252
Lees–McRae College,NC,Conference Carolinas,,36.152715,-81.8815894
